Name,Efficiency,Efficiency Detail,Project,Owner,Cluster
vm290,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.73%) was below the minimum threshold (20%) and max hourly average memory usage (24.18%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm291,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.77%) was below the minimum threshold (20%) and max hourly average memory usage (24.75%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm292,-,-,_internal,admin,cluster2
vm293,-,-,_internal,admin,cluster2
vm294,-,-,_internal,admin,cluster2
vm295,Overprovisioned,Overprovisioned: Max hourly average CPU usage (4.62%) was below the minimum threshold (20%) and max hourly average memory usage (17.41%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm296,Overprovisioned,Overprovisioned: Max hourly average CPU usage (6.13%) was below the minimum threshold (20%) and max hourly average memory usage (20.08%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm297,Overprovisioned,Overprovisioned: Max hourly average CPU usage (5.58%) was below the minimum threshold (20%) and max hourly average memory usage (24.56%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm298,-,-,_internal,admin,cluster2
vm299,-,-,_internal,admin,cluster2
vm300,-,-,_internal,admin,cluster3
vm301,-,-,_internal,admin,cluster3
vm302,Overprovisioned,Overprovisioned: Max hourly average CPU usage (8.07%) was below the minimum threshold (20%) and max hourly average memory usage (25.11%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm303,-,-,_internal,admin,cluster3
vm304,-,-,_internal,admin,cluster3
vm305,-,-,_internal,admin,cluster3
vm306,-,-,_internal,admin,cluster3
vm307,Overprovisioned,Overprovisioned: Max hourly average CPU usage (7.71%) was below the minimum threshold (20%) and max hourly average memory usage (21.02%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm308,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.84%) was below the minimum threshold (20%) and max hourly average memory usage (14.86%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm309,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.82%) was below the minimum threshold (20%) and max hourly average memory usage (14.74%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm310,-,-,_internal,admin,cluster3
vm311,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.87%) was below the minimum threshold (20%) and max hourly average memory usage (14.84%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm312,-,-,_internal,admin,cluster3
vm313,-,-,_internal,admin,cluster3
vm314,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.87%) was below the minimum threshold (20%) and max hourly average memory usage (17.32%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm315,-,-,_internal,admin,cluster2
vm316,-,-,_internal,admin,cluster2
vm317,-,-,_internal,admin,cluster3
vm318,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.75%) was below the minimum threshold (20%) and max hourly average memory usage (24.62%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm319,Overprovisioned,Overprovisioned: Max hourly average CPU usage (19.39%) was below the minimum threshold (20%) and max hourly average memory usage (25.91%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm320,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.56%) was below the minimum threshold (20%) and max hourly average memory usage (10.93%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster2
vm321,-,-,_internal,admin,cluster3
vm322,-,-,_internal,admin,cluster3
vm323,-,-,_internal,admin,cluster3
vm324,-,-,_internal,admin,cluster3
vm325,Overprovisioned,Overprovisioned: Max hourly average CPU usage (1.52%) was below the minimum threshold (20%) and max hourly average memory usage (32.27%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm326,Overprovisioned,Overprovisioned: Max hourly average CPU usage (2.14%) was below the minimum threshold (20%) and max hourly average memory usage (42.86%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster3
vm327,-,-,_internal,admin,cluster2
vm328,-,-,,,cluster1
vm329,-,-,,,cluster1
vm330,-,-,,,cluster1
vm331,NA,,,,cluster1
vm332,NA,,,,cluster1
vm333,-,-,,,cluster1
vm334,NA,,,,cluster1
vm335,-,-,,,cluster1
vm336,-,-,,,cluster1
vm337,NA,,,,cluster1
vm338,-,-,,,cluster1
vm339,-,-,,,cluster1
vm340,-,-,,,cluster1
vm341,-,-,,,cluster1
vm342,NA,,,,cluster3
vm343,-,-,,,cluster3
vm344,-,-,,,cluster3
vm345,NA,,,,cluster3
vm346,-,-,,,cluster3
vm347,-,-,,,cluster3
vm348,-,-,,,cluster2
vm349,-,-,,,cluster2
vm350,NA,,,,cluster2
vm351,NA,,,,cluster2
vm352,-,-,,,cluster2
vm353,-,-,,,cluster2
vm354,-,-,,,cluster2
vm355,Inactive,Inactive: The VM was powered off for the last 92 days.,_internal,admin,cluster3
vm356,Inactive,Inactive: The VM was powered off for the last 90 days.,_internal,admin,cluster2
vm357,-,-,_internal,admin,cluster2
vm358,-,-,_internal,admin,cluster1
